SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS25SS09C-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS09C-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.211542+07
WS25SS08P-SC,Áo Sơ Mi Tay Ngắn Form Ôm WS25SS08P-SC,750000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.210951+07
WS25SS07P-SC,Áo Sơ Mi Nam Form Vừa Tay Ngắn WS25SS07P-SC,750000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.210306+07
WS25SS05T-SDBB,Áo Sơ Mi Tay Ngắn Form Ôm WS25SS05T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.209688+07
WS25SS04T-SC,Áo Sơ Mi Nam Form Ôm Tay Ngắn WS25SS04T-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.20908+07
WS25SS03P-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS03P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.208436+07
WS25SS01C-SDBB,Áo Sơ Mi Tay Ngắn Form Ôm WS25SS01C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.207797+07
WS25FH99T-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH99T-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.207134+07
WS25FH81P-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH81P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.20604+07
WS25FH80T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH80T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.205332+07
WS25FH69T-CF,Áo Sơ Mi Nam Tay Ngắn WS25FH69T-CF,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.203871+07
WS25FH67C-LD,Áo Sơ Mi Nam Tay Dài Form Ôm WS25FH67C-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.202655+07
WS25FH62T-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25FH62T-CFBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.183758+07
WS25FH58C-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Comfort Fit WS25FH58C-CFBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.183122+07
